"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","3031258406.459","3031258406.459","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","50","BGD","Bangladesh","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","227590896.497","227590896.497","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","76","BRA","Brazil","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","71884.965","71884.965","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","90","SLB","Solomon Isds","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","14603.259","14603.259","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","124","CAN","Canada","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","5535.269","5535.269","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","144","LKA","Sri Lanka","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","168695.981","168695.981","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","156","CHN","China","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","75061987.702","75061987.702","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","208","DNK","Denmark","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","27141.544","27141.544","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","242","FJI","Fiji","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","3591683.184","3591683.184","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","262","DJI","Djibouti","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","1439721.972","1439721.972","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","276","DEU","Germany","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","6794.924","6794.924","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","37697.399","37697.399","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","360","IDN","Indonesia","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","360216540.846","360216540.846","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","380","ITA","Italy","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","2988760.643","2988760.643","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","26532833.436","26532833.436","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","105043837.977","105043837.977","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","458","MYS","Malaysia","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","136547864.224","136547864.224","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","480","MUS","Mauritius","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","5536230.669","5536230.669","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","490","S19","Other Asia, nes","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","14377140.846","14377140.846","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","528","NLD","Netherlands","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","3966.249","3966.249","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","540","NCL","New Caledonia","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","5327.869","5327.869","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","548","VUT","Vanuatu","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","2411.796","2411.796","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","554","NZL","New Zealand","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","26444804.631","26444804.631","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","586","PAK","Pakistan","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","212055655.382","212055655.382","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","598","PNG","Papua New Guinea","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","21725.582","21725.582","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","604","PER","Peru","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","0.694","0.694","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","608","PHL","Philippines","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","11032633.069","11032633.069","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","620","PRT","Portugal","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","75112.485","75112.485","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","699","IND","India","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","246380247.101","246380247.101","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","702","SGP","Singapore","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","39140.869","39140.869","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","704","VNM","Viet Nam","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1170216264.113","1170216264.113","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","724","ESP","Spain","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","19809.048","19809.048","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","764","THA","Thailand","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","228080635.282","228080635.282","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","11990.307","11990.307","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","792","TUR","Türkiye","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","177251590.791","177251590.791","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","826","GBR","United Kingdom","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","40370.004","40370.004","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","316869.849","316869.849","4","false","true",
"C","A","20220101","2022","52","2022","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","439964.6","439964.6","0","false","true",
"C","A","20220101","2022","52","2022","51","ARM","Armenia","X","Export","112","BLR","Belarus","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","407.04","407.04","0","false","true",
"C","A","20220101","2022","52","2022","51","ARM","Armenia","X","Export","276","DEU","Germany","0","W00","World","H6","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","3558.49","3558.49","0","false","true",
