id,4,8,12,20,24,660,28,32,51,533,36,40,31,44,48,50,52,112,56,58,84,204,60,64,68,535,70,72,92,76,96,100,854,108,132,116,120,124,136,140,148,152,156,344,446,170,174,178,184,188,384,191,192,531,196,203,200,408,180,208,262,212,214,588,218,818,222,226,232,233,231,234,238,242,246,886,278,866,720,230,280,582,590,592,868,717,736,835,810,890,836,251,254,258,583,266,270,268,276,288,292,300,304,308,312,320,324,624,328,332,336,340,348,352,699,356,360,364,368,372,376,381,388,392,400,398,404,296,414,417,418,428,422,426,430,434,440,442,450,454,458,462,466,470,584,474,478,480,175,484,496,499,500,504,508,104,580,516,524,530,532,528,540,554,558,562,566,579,512,490,586,585,591,598,600,459,604,608,616,620,634,410,498,638,642,643,646,647,461,652,654,659,658,662,534,666,670,882,674,678,457,682,686,688,891,690,694,702,703,705,711,90,706,710,728,724,144,275,729,740,748,752,757,760,762,807,764,626,768,772,776,780,788,792,795,796,798,800,804,784,826,834,858,850,842,841,860,548,862,704,876,887,894,716
4,0,63,2,27,22,73,67,89,8,42,2,21,50,2,19,64,54,22,58,80,0,80,69,34,15,95,33,9,9,84,60,80,72,53,97,37,55,82,61,86,57,70,4,22,28,7,23,10,27,63,36,37,20,26,93,64,60,17,72,16,37,98,63,55,68,84,77,22,3,31,26,21,94,87,31,65,39,91,45,26,24,56,26,58,89,39,21,99,50,9,4,10,62,79,42,6,38,99,52,97,86,1,72,68,53,26,64,11,43,45,95,87,26,50,17,91,87,29,63,60,15,76,53,77,53,0,32,1,92,87,83,30,5,87,94,8,48,6,76,76,12,47,54,26,87,42,21,53,72,20,31,99,64,43,51,12,22,33,58,23,22,7,63,22,90,85,7,23,66,21,13,93,57,47,78,80,19,9,43,42,46,72,67,98,9,40,33,86,24,19,44,42,27,24,92,44,86,55,5,99,83,96,92,84,16,48,21,40,5,37,98,26,78,45,42,95,99,55,71,15,29,96,57,54,74,5,58,50,85,15,96,8,18,59,67,23,11,89,24,59,61,41,58,52,93,20,71,23,39,67,29,31,75,7
8,45,0,99,99,7,21,26,93,88,87,36,15,83,70,61,98,65,0,81,29,66,93,13,11,10,55,27,60,71,20,63,26,48,90,84,9,42,27,0,77,63,26,74,55,42,0,7,88,90,54,83,58,14,12,30,89,79,86,89,21,24,10,78,88,40,62,15,92,86,97,81,88,2,73,33,93,80,86,81,26,78,10,87,85,22,81,46,30,79,22,2,19,32,86,96,27,64,39,98,53,93,11,97,17,96,26,10,43,72,31,60,51,38,57,25,70,0,92,53,71,74,67,36,6,66,33,31,84,71,30,30,40,40,29,12,42,94,67,90,61,30,54,0,28,42,57,65,46,44,21,47,90,79,16,8,51,63,33,81,75,67,22,19,2,24,47,84,7,41,62,19,69,49,24,65,0,75,77,10,42,17,95,51,5,24,84,45,80,66,98,59,95,89,61,71,50,83,54,89,74,47,25,24,63,76,52,62,27,7,28,27,31,54,13,23,69,70,6,40,54,41,20,42,90,58,69,85,76,38,0,35,75,85,95,41,74,54,60,22,21,43,2,33,67,40,16,46,12,62,2,39,56,2,64
12,13,46,0,5,37,21,32,76,37,75,83,25,8,1,53,99,34,65,78,65,75,94,19,2,15,12,66,56,21,69,76,16,60,74,11,81,96,10,2,31,67,95,39,71,7,69,62,10,77,85,60,12,98,78,34,42,37,50,34,84,82,10,96,63,82,70,43,73,96,27,80,53,48,43,73,26,85,83,8,88,24,46,61,37,2,85,18,21,79,34,88,70,27,1,94,8,72,48,75,69,64,49,79,9,22,69,30,58,47,53,42,74,33,70,27,25,12,19,11,53,76,18,21,48,72,97,52,28,10,19,22,17,1,53,27,97,55,69,12,86,49,87,57,46,44,18,5,94,47,82,40,7,62,5,14,56,30,99,11,76,60,79,22,52,45,44,86,99,30,62,60,74,94,20,21,66,15,17,7,0,45,59,29,23,70,70,45,68,92,78,62,66,93,42,54,64,90,82,7,16,30,74,56,28,12,68,69,94,50,49,8,3,43,32,25,9,96,83,57,95,99,67,26,4,75,47,65,91,18,58,63,49,9,34,33,67,85,32,69,28,94,81,55,45,31,32,97,40,51,98,65,54,41,18
20,36,75,62,0,75,20,54,92,43,69,12,97,60,23,15,55,55,9,99,91,46,11,83,49,71,50,27,83,98,24,55,38,92,50,87,86,27,79,41,93,50,82,28,29,58,99,48,14,53,34,55,54,45,32,18,69,57,23,77,4,74,70,81,38,66,82,98,49,3,50,59,86,87,44,52,45,72,40,65,15,46,96,33,69,64,85,85,85,38,31,71,75,87,3,6,63,92,99,74,43,9,63,87,44,69,90,4,79,29,37,14,53,56,79,16,7,87,61,24,91,14,46,25,25,0,80,90,67,15,44,34,58,63,42,25,84,19,38,48,23,57,57,99,29,97,65,27,56,68,74,4,60,49,90,28,79,60,35,63,62,67,72,65,83,62,90,64,30,44,57,73,9,29,74,17,13,53,97,53,91,83,25,82,48,80,74,33,11,96,14,96,86,72,97,96,80,36,79,1,53,45,67,67,58,82,94,10,23,2,88,56,91,22,6,82,90,30,40,13,94,30,49,9,88,13,45,67,74,94,41,74,15,41,9,48,40,95,3,37,44,95,85,9,68,54,97,35,39,18,12,84,45,66,64
24,59,2,78,24,0,12,56,6,76,20,21,86,32,14,90,0,85,14,12,25,17,66,2,1,78,23,32,17,5,74,52,74,47,77,51,10,50,94,4,78,86,52,45,96,6,47,40,68,49,90,7,8,60,6,27,63,54,32,99,53,45,60,9,70,85,65,76,72,21,45,22,33,45,41,9,42,66,37,15,92,6,83,9,9,73,81,55,58,56,32,12,35,66,75,86,72,96,60,35,57,21,65,22,10,84,36,76,57,80,84,97,81,61,64,2,92,82,26,18,70,30,33,0,86,56,40,14,63,3,74,21,41,34,37,72,77,56,8,5,15,61,67,27,66,48,44,27,75,11,42,28,67,48,66,4,39,59,0,30,21,13,25,32,0,74,17,38,70,50,83,80,7,86,4,1,92,86,57,57,70,41,11,2,32,80,61,83,91,8,84,24,58,52,39,31,33,33,16,51,11,50,90,34,72,81,81,23,14,19,60,76,65,17,77,49,75,75,44,92,56,63,62,86,62,15,6,44,30,27,5,50,31,45,5,83,7,86,85,61,50,46,55,79,89,44,80,65,32,47,15,6,10,89,34
660,71,50,17,24,43,0,43,52,15,37,28,40,33,59,78,64,6,9,67,28,72,65,90,87,33,58,14,34,96,69,39,59,93,30,37,79,81,67,82,73,68,52,64,42,36,36,18,21,94,48,22,13,7,84,10,77,83,88,3,33,76,13,37,16,83,77,80,16,43,41,67,23,44,28,74,44,53,30,80,46,83,36,94,98,46,28,38,52,96,81,80,13,25,64,87,55,10,84,85,28,76,27,90,14,43,94,22,45,34,2,5,50,23,99,37,2,93,83,64,79,13,28,82,69,13,70,44,0,7,25,83,54,72,52,11,28,30,4,41,79,45,11,90,59,1,51,24,14,42,61,24,41,66,8,97,6,52,50,98,55,39,47,63,98,25,1,78,34,73,62,77,73,33,4,54,81,17,77,46,69,63,81,6,77,45,29,4,19,4,93,51,98,54,25,75,19,35,78,86,33,12,36,88,74,89,38,97,49,49,92,51,80,72,7,60,82,54,32,8,66,30,60,42,68,35,4,87,35,99,27,98,94,7,63,36,80,67,95,14,60,78,3,6,77,36,38,56,60,67,94,37,76,57,52
28,39,64,24,11,73,49,0,38,56,26,26,44,99,28,91,49,12,85,45,89,44,8,68,84,31,34,6,54,89,85,71,92,63,79,50,12,20,13,79,2,55,36,80,55,61,8,30,99,71,52,76,82,7,97,64,44,68,34,87,78,63,18,96,43,91,5,12,15,16,32,70,34,94,89,84,25,63,55,12,30,53,50,16,94,15,65,72,60,84,56,82,2,4,64,57,65,76,41,63,49,62,28,95,48,80,68,29,7,5,43,48,20,60,31,71,73,86,97,13,37,56,31,46,26,24,9,29,38,61,24,86,15,32,57,31,76,49,51,49,30,2,94,50,96,21,35,5,49,88,65,47,53,84,43,88,72,76,36,40,57,19,55,7,50,76,27,98,68,11,97,39,79,33,93,75,19,50,50,4,13,33,47,45,60,51,32,61,16,99,73,29,33,82,53,70,29,81,36,67,97,58,79,72,68,2,47,96,78,77,57,72,58,17,62,61,84,14,68,3,94,10,1,31,15,69,41,77,92,87,73,6,13,20,32,66,52,31,17,91,34,35,77,72,64,69,61,19,24,55,22,97,29,28,20
32,70,31,34,93,79,27,12,0,67,37,98,81,95,80,29,28,71,34,44,25,47,20,53,93,69,13,61,58,24,66,53,63,5,41,71,10,77,0,55,92,40,93,87,47,19,96,32,64,90,8,57,53,72,93,91,17,88,17,91,99,39,49,93,96,92,87,0,56,10,98,28,98,54,49,93,85,46,19,11,16,45,25,18,73,79,56,75,17,85,89,82,51,8,66,18,14,32,24,26,23,75,95,30,72,1,65,69,6,11,30,40,50,89,70,31,11,91,29,61,21,13,15,74,60,41,54,47,53,66,21,24,75,87,8,44,70,7,56,6,54,50,57,14,32,52,11,20,58,9,51,80,45,51,45,5,46,80,72,39,81,74,57,4,34,6,99,93,6,93,3,40,76,76,97,64,42,99,38,86,90,37,68,66,53,65,34,17,53,52,72,22,0,2,29,67,54,53,82,24,34,27,93,72,11,80,41,76,88,1,20,10,3,59,70,4,74,40,23,21,86,5,50,28,81,73,31,59,67,32,30,14,66,22,30,6,94,87,91,62,42,49,97,94,67,78,31,41,14,37,75,47,84,30,70
51,80,91,56,96,55,13,24,20,0,64,92,84,9,72,19,26,67,60,87,18,76,72,55,47,86,33,95,1,93,96,11,99,47,24,60,20,91,55,77,38,53,35,26,51,49,9,98,46,83,91,37,41,56,22,14,26,93,57,41,15,32,37,83,49,65,68,25,82,96,64,49,16,79,16,72,48,91,54,64,5,3,84,94,66,76,41,84,23,70,0,50,37,61,66,61,48,48,0,55,1,52,27,97,1,81,67,80,90,10,9,14,19,52,81,26,39,37,40,56,99,22,68,84,65,85,75,9,37,55,5,0,17,49,43,78,56,85,9,52,4,21,86,88,47,4,7,92,89,56,3,92,31,96,58,75,71,39,7,16,24,83,38,89,33,75,13,98,72,50,97,5,43,83,34,76,95,39,77,2,27,99,49,35,94,43,67,66,8,61,79,71,8,15,71,63,73,31,10,0,30,35,26,13,18,44,55,40,2,35,9,59,32,38,29,38,8,90,90,97,57,16,38,13,30,49,6,43,42,48,7,25,24,62,59,19,10,30,94,33,62,80,32,33,81,85,97,13,32,94,20,31,96,96,29
533,69,49,57,24,37,81,39,11,56,0,59,54,68,55,95,46,70,43,29,69,81,79,40,49,63,24,65,71,78,7,99,47,40,50,92,69,54,79,35,89,53,63,8,76,65,35,64,4,98,67,39,75,96,43,1,25,51,51,58,57,44,39,77,58,50,34,2,10,41,96,11,94,14,31,45,20,48,47,43,69,31,30,81,11,84,64,67,16,98,24,17,16,55,95,23,40,18,64,43,2,61,19,59,38,70,20,75,80,6,10,87,18,32,45,26,86,52,63,59,61,58,34,84,61,81,70,29,61,8,13,11,30,18,69,51,41,13,38,18,63,69,64,99,55,48,14,31,45,5,35,0,13,81,96,50,49,68,41,83,48,8,3,76,29,27,53,16,45,74,76,54,11,11,77,82,36,82,4,71,54,98,10,83,75,29,99,44,34,81,43,99,77,23,81,58,35,71,63,16,13,20,20,5,35,28,53,32,70,28,26,85,98,67,9,96,78,91,99,86,12,86,24,71,82,76,67,48,57,26,41,45,63,88,9,51,27,93,36,95,32,0,77,73,73,45,66,35,6,53,21,42,21,26,82
36,33,57,56,48,34,68,4,9,78,45,0,12,85,44,0,95,20,68,13,64,15,93,27,65,25,37,90,16,39,30,69,23,65,70,0,47,13,22,67,0,69,81,98,42,13,7,38,73,10,31,88,13,77,75,13,99,14,53,0,65,44,72,62,15,41,68,85,8,10,75,58,38,96,31,13,27,8,55,60,60,77,69,84,65,30,51,50,74,29,5,89,95,49,11,49,59,52,97,98,93,13,86,56,36,68,76,95,77,1,6,26,3,6,78,50,62,50,41,70,8,53,61,27,30,51,20,80,53,39,63,83,68,6,69,72,84,5,8,43,45,60,30,74,74,11,70,70,16,95,52,78,72,16,12,78,26,88,77,2,80,27,6,71,57,7,45,36,49,56,36,25,10,57,72,22,50,4,86,24,47,38,15,93,85,55,91,74,41,32,41,72,27,7,37,50,90,17,80,98,95,6,46,28,84,32,55,0,20,56,30,62,46,59,49,77,19,90,76,24,0,41,23,34,83,87,95,0,65,84,72,10,52,23,49,5,99,71,9,92,89,51,70,37,97,8,9,13,81,7,56,43,96,23,26
40,31,80,70,73,31,27,7,20,77,58,15,0,16,46,40,53,96,20,30,26,11,15,68,82,69,4,83,32,9,24,35,51,67,26,99,3,40,45,74,24,46,80,13,1,83,98,13,82,37,63,64,58,25,81,2,6,90,44,12,90,82,33,4,46,16,57,82,39,2,68,17,21,18,27,88,3,61,24,29,41,55,6,27,13,19,88,52,63,80,79,98,78,35,54,48,91,50,38,17,31,21,89,77,5,99,52,76,99,97,10,65,26,81,91,5,99,21,84,79,35,83,84,17,59,80,69,91,2,70,94,56,56,18,98,88,49,30,49,9,23,21,52,0,91,20,13,71,91,84,32,2,58,91,77,84,86,96,37,94,39,10,30,13,15,94,79,96,64,17,96,69,92,78,22,58,17,30,68,12,72,94,94,39,99,96,3,60,92,96,22,56,93,14,74,23,98,16,88,8,70,63,88,44,26,24,6,25,10,0,38,73,96,88,49,37,54,10,47,86,65,68,16,7,84,29,31,95,7,17,37,73,54,89,9,59,61,48,3,94,16,88,15,10,20,18,69,72,72,26,28,23,4,57,83
31,15,36,42,29,66,60,19,2,17,29,8,84,0,30,39,48,66,9,54,18,88,36,44,26,46,22,26,6,75,66,8,34,54,97,58,55,84,81,41,53,86,47,88,47,7,90,71,50,90,80,67,62,12,75,17,98,97,80,12,42,98,43,99,62,83,25,91,91,6,38,39,32,27,45,87,78,62,52,41,41,14,58,75,93,92,56,10,28,53,34,41,38,48,60,3,27,14,60,69,3,88,33,23,74,92,89,2,81,30,28,49,69,9,86,13,97,44,82,26,41,64,18,21,82,74,75,86,82,51,15,31,50,13,85,87,2,19,83,83,24,45,91,70,27,82,50,63,12,3,37,59,17,87,58,34,16,89,74,68,28,38,16,57,96,85,64,67,26,40,2,78,76,0,91,64,60,0,25,80,30,96,64,42,37,34,25,46,67,82,39,10,51,66,84,37,64,60,29,10,6,98,64,86,26,71,89,29,14,76,89,80,80,60,66,68,72,65,99,25,41,38,3,70,57,18,72,22,53,78,90,67,50,84,84,87,18,9,12,25,80,76,18,67,33,8,35,74,30,78,33,26,29,85,47
44,86,58,94,7,88,50,86,38,29,5,85,13,20,0,40,56,90,45,31,71,77,48,63,17,63,0,27,76,16,76,48,76,8,61,63,40,96,38,3,19,37,1,32,83,19,67,62,24,69,34,12,38,58,16,82,29,29,72,59,33,88,99,34,90,35,18,94,91,40,22,72,13,73,58,16,36,65,3,87,25,53,4,99,66,65,1,68,41,38,54,47,15,69,63,30,66,66,26,60,13,83,10,71,11,11,10,19,19,26,52,20,70,29,3,49,20,93,33,0,67,90,83,66,14,9,51,72,10,25,23,98,29,46,9,17,3,29,80,31,73,9,75,4,85,66,17,35,43,62,87,9,81,18,40,96,27,38,85,79,64,79,11,69,5,94,15,41,59,80,67,18,37,35,2,68,83,97,13,92,11,41,4,26,31,70,67,76,57,56,97,66,33,52,70,9,66,24,34,67,38,83,55,98,5,64,15,84,85,86,7,49,24,97,5,22,64,40,23,45,80,44,85,44,11,49,65,10,41,55,0,9,60,61,30,50,20,67,95,36,5,22,45,56,61,47,65,71,11,75,22,34,82,96,29
